Date,Open,High,Low,Close,Adj Close,Volume
2021-10-02,1.776078,3.919722,1.736193,3.820282,3.820282,10369108
2021-10-03,3.820941,5.027417,3.003821,3.277181,3.277181,12959071
2021-10-04,3.277321,4.025807,2.627236,3.291185,3.291185,12334943
2021-10-05,3.291373,3.938079,3.174290,3.790175,3.790175,9159338
2021-10-06,3.790465,3.990629,2.144126,2.366237,2.366237,7387132
2021-10-07,2.366638,2.561952,1.913175,2.187862,2.187862,5269073
2021-10-08,2.187877,2.910420,1.994126,2.686598,2.686598,3153532
2021-10-09,2.686351,2.727141,2.058021,2.538804,2.538804,2805399
2021-10-10,2.539187,3.054486,2.478438,2.912671,2.912671,1713622
2021-10-11,2.912355,3.259615,2.628157,2.820862,2.820862,1107905
2021-10-12,2.820729,2.821949,2.232899,2.327173,2.327173,966061
2021-10-13,2.326772,2.326772,1.047670,1.390567,1.390567,2711255
2021-10-14,1.390626,1.473603,1.239550,1.370415,1.370415,3452661
2021-10-15,1.370422,1.398425,0.820812,0.958065,0.958065,2579539
2021-10-16,0.958060,1.010260,0.768637,0.786220,0.786220,2080709
2021-10-17,0.786264,1.063666,0.756226,0.956196,0.956196,1368074
2021-10-18,0.956216,1.033058,0.880100,0.980766,0.980766,1511631
2021-10-19,0.980829,1.499024,0.974894,1.336157,1.336157,1922383
2021-10-20,1.336067,1.413943,1.204639,1.407465,1.407465,1983492
2021-10-21,1.407358,1.645977,1.164250,1.359534,1.359534,2748431
2021-10-22,1.359500,1.399189,0.961038,1.254397,1.254397,3599938
2021-10-23,1.254352,1.375604,1.184460,1.291827,1.291827,2331859
2021-10-24,1.291860,1.303083,1.192732,1.218682,1.218682,1336048
2021-10-25,1.218682,1.388627,1.195522,1.312171,1.312171,1711193
2021-10-26,1.312317,1.659750,1.247916,1.601549,1.601549,2654044
2021-10-27,1.601559,2.178005,1.570351,2.064530,2.064530,4568738
2021-10-28,2.064605,2.492721,1.705959,2.057794,2.057794,5257443
2021-10-29,2.057770,2.426633,1.982763,2.358484,2.358484,4689254
2021-10-30,2.358232,2.744657,2.145521,2.744657,2.744657,5170825
2021-10-31,2.744751,2.973538,2.484610,2.863356,2.863356,5762377
2021-11-01,2.863247,3.050481,2.684933,3.027422,3.027422,6361696
2021-11-02,3.027482,3.761911,2.710633,3.410877,3.410877,7844862
2021-11-03,3.410887,3.717266,3.110740,3.501664,3.501664,8286222
2021-11-04,3.501657,3.910193,2.639950,3.219355,3.219355,8889353
2021-11-05,3.219243,3.350000,2.935371,3.233987,3.233987,9220862
2021-11-06,3.233979,3.430511,3.011690,3.135011,3.135011,8191383
2021-11-07,3.134463,3.467552,2.868002,3.357265,3.357265,8287666
2021-11-08,3.356959,3.853956,3.064649,3.782752,3.782752,7119597
2021-11-09,3.782706,3.928479,3.033021,3.674469,3.674469,7820466
2021-11-10,3.674681,3.719697,3.257728,3.585829,3.585829,10357496
2021-11-11,3.587780,3.862015,3.401589,3.780211,3.780211,11806123
2021-11-12,3.785796,5.231798,3.505376,4.123690,4.123690,13637705
2021-11-13,4.115931,5.014226,3.985126,4.708298,4.708298,15193775
2021-11-14,4.709057,5.035612,4.252217,4.792797,4.792797,14443529
2021-11-15,4.792143,5.619535,4.682957,5.343575,5.343575,16320804
2021-11-16,5.344079,5.639487,4.825874,5.479190,5.479190,17227524
2021-11-17,5.478446,6.798225,5.218803,6.748479,6.748479,17887740
2021-11-18,6.751361,7.247462,6.048029,6.172561,6.172561,23021319
2021-11-19,6.171746,6.757240,5.390179,6.178363,6.178363,24174364
2021-11-20,6.177770,6.242235,5.489902,5.581456,5.581456,19747544
2021-11-21,5.581053,6.057416,4.436752,5.558280,5.558280,20540861
2021-11-22,5.560342,6.130436,5.205084,6.009235,6.009235,24341507
2021-11-23,6.009841,7.005997,5.688481,6.809077,6.809077,26463593
2021-11-24,6.809077,7.290428,6.513131,6.846103,6.846103,15873094
2021-11-25,6.867600,7.615936,6.703862,6.915963,6.915963,17320730
2021-11-26,7.119478,8.291470,6.554867,7.578579,7.578579,30694567
2021-11-27,7.578579,8.413321,7.411578,8.007620,8.007620,35579506
2021-11-28,8.006899,8.584812,7.670517,8.320676,8.320676,34158703
2021-11-29,8.320427,8.765125,7.433922,8.202882,8.202882,37428795
2021-11-30,8.205099,8.463983,7.689963,7.689963,7.689963,38329869
2021-12-01,7.689963,8.174716,6.947841,7.558508,7.558508,61267551
2021-12-02,7.557821,7.819178,5.699794,6.690316,6.690316,75662898
2021-12-03,6.684051,7.401003,6.684051,7.068475,7.068475,51205848
2021-12-04,7.068114,7.077686,6.206335,6.889227,6.889227,25468239
2021-12-05,6.889062,7.085866,6.433495,6.958061,6.958061,39483288
2021-12-06,6.957399,7.401657,5.613685,6.190152,6.190152,46463792
2021-12-07,6.190028,6.558335,5.248143,5.495161,5.495161,39365418
2021-12-08,5.495332,6.168131,5.477135,5.804571,5.804571,38166420
2021-12-09,5.803588,5.914290,4.780326,5.256711,5.256711,35251952
2021-12-10,5.254136,5.482382,4.741642,5.482070,5.482070,30527131
2021-12-11,5.482070,5.964182,4.995880,5.196352,5.196352,27232697
2021-12-12,5.200622,5.560406,5.055361,5.116480,5.116480,27274173
2021-12-13,5.111266,5.466369,4.839684,4.924671,4.924671,27641827
2021-12-14,4.927569,5.100722,4.835588,4.977114,4.977114,26181791
2021-12-15,4.974611,5.098756,4.475843,4.618841,4.618841,20642488
2021-12-16,4.621492,4.839911,4.007984,4.384899,4.384899,22901693
2021-12-17,4.384319,4.509941,2.996627,4.506697,4.506697,33810459
2021-12-18,4.502688,4.502688,3.966112,4.179109,4.179109,29150228
2021-12-19,4.178096,4.192240,3.813777,3.858176,3.858176,21182596
2021-12-20,3.860359,3.914058,3.398254,3.752503,3.752503,22356914
2021-12-21,3.752736,3.991991,3.577235,3.845770,3.845770,22819813
2021-12-22,3.844879,4.433129,3.762083,3.967058,3.967058,22783877
2021-12-23,3.966877,4.142820,3.825802,3.998399,3.998399,21944653
2021-12-24,3.999116,4.114534,3.904677,3.944935,3.944935,18611186
2021-12-25,3.944218,3.999347,3.687548,3.781214,3.781214,16435261
2021-12-26,3.781232,3.834067,3.543050,3.631346,3.631346,15675829
2021-12-27,3.630956,3.691481,3.332630,3.562012,3.562012,15959273
2021-12-28,3.559604,3.559604,2.854958,3.264436,3.264436,19005912
2021-12-29,3.264391,3.292687,2.722600,2.738043,2.738043,17583219
2021-12-30,2.737898,3.019767,2.388699,2.726814,2.726814,16505253
2021-12-31,2.726602,2.735826,2.567750,2.704050,2.704050,13285784
2022-01-01,2.704050,2.739306,2.261149,2.380916,2.380916,9483012
2022-01-02,2.380916,2.492924,2.045689,2.195202,2.195202,13110385
2022-01-03,2.195202,2.205787,1.610038,1.983625,1.983625,16593185
2022-01-04,1.984655,2.776394,1.813591,2.482556,2.482556,15061727
2022-01-05,2.482556,2.694734,2.266358,2.378133,2.378133,13073458
2022-01-06,2.378133,2.448761,2.208133,2.383293,2.383293,11813305
2022-01-07,2.383293,2.482973,2.232099,2.423376,2.423376,10816029
2022-01-08,2.423376,2.481350,2.349990,2.448678,2.448678,10598749
2022-01-09,2.448678,2.456552,2.359396,2.418573,2.418573,9393881
2022-01-10,2.418573,2.423507,2.257360,2.361751,2.361751,9744435
2022-01-11,2.361751,3.303397,2.324025,2.913675,2.913675,13111722
2022-01-12,2.913675,3.450945,2.823267,3.351129,3.351129,15529695
2022-01-13,3.351129,3.805377,3.040059,3.649025,3.649025,25036491
2022-01-14,3.649025,4.008554,3.564704,3.963676,3.963676,16534595
2022-01-15,3.963676,4.401640,3.243573,3.447374,3.447374,19751113
2022-01-16,3.447374,3.551382,2.853618,3.086531,3.086531,21047276
2022-01-17,3.086531,3.441544,2.955195,2.961950,2.961950,14918638
2022-01-18,2.961950,3.224336,2.674062,2.980131,2.980131,15969517
2022-01-19,2.980131,3.044754,2.838643,3.033379,3.033379,13345897
2022-01-20,3.033379,3.113906,2.246655,2.654167,2.654167,19378492
2022-01-21,2.654167,2.738537,2.295867,2.504923,2.504923,26742331
2022-01-22,2.504923,2.531964,2.287346,2.370850,2.370850,17624466
2022-01-23,2.370850,2.486755,2.302127,2.437515,2.437515,11597250
2022-01-24,2.437515,2.454826,2.265753,2.372848,2.372848,9352811
2022-01-25,2.372848,2.408414,2.296255,2.345030,2.345030,9631340
2022-01-26,2.345030,2.355211,1.790460,2.092618,2.092618,12151474
2022-01-27,2.092618,2.117493,1.868362,1.912932,1.912932,11560338
2022-01-28,1.912932,1.919960,1.582923,1.636606,1.636606,10588227
2022-01-29,1.636606,2.012687,1.393748,1.877870,1.877870,12789465
2022-01-30,1.877870,1.891011,1.738217,1.756827,1.756827,10048405
2022-01-31,1.756825,1.791981,1.676666,1.750642,1.750642,6959379
2022-02-01,1.750642,1.775378,1.704066,1.735117,1.735117,6796994
2022-02-02,1.735117,1.741053,1.465764,1.533955,1.533955,6872641
2022-02-03,1.533957,1.759810,1.411579,1.673712,1.673712,8348316
2022-02-04,1.673661,1.673661,1.497452,1.570203,1.570203,7122435
2022-02-05,1.570199,1.574589,1.428730,1.436698,1.436698,6348645
2022-02-06,1.436689,1.465886,1.187275,1.225056,1.225056,7146505
2022-02-07,1.225054,1.337779,1.119037,1.132210,1.132210,8584567
2022-02-08,1.132210,1.212529,0.841310,0.880618,0.880618,9335276
2022-02-09,0.880619,1.337703,0.841459,0.897037,0.897037,13716366
2022-02-10,0.897037,0.998368,0.543334,0.543335,0.543335,12400825
2022-02-11,0.543337,0.839336,0.436640,0.731922,0.731922,14663380
2022-02-12,0.731922,0.764389,0.693362,0.731960,0.731960,11619552
2022-02-13,0.731960,0.739667,0.692640,0.702161,0.702161,4211071
2022-02-14,0.702161,0.730020,0.652414,0.698130,0.698130,4624903
2022-02-15,0.698132,0.699600,0.557507,0.593302,0.593302,5994551
2022-02-16,0.593298,0.598495,0.460979,0.505313,0.505313,4545111
2022-02-17,0.505292,0.579456,0.482787,0.492505,0.492505,5612004
2022-02-18,0.492506,0.507495,0.437484,0.438716,0.438716,4299256
2022-02-19,0.438715,0.453287,0.354145,0.377614,0.377614,3280604
2022-02-20,0.377614,0.385587,0.299933,0.305532,0.305532,2898443
2022-02-21,0.305532,0.318592,0.241942,0.243641,0.243641,2471202
2022-02-22,0.243632,0.477350,0.215129,0.402995,0.402995,7373417
2022-02-23,0.402997,0.713338,0.396551,0.535139,0.535139,26282910
2022-02-24,0.535139,0.541762,0.360971,0.452029,0.452029,22620741
2022-02-25,0.452029,0.494311,0.423384,0.494311,0.494311,9416000
2022-02-26,0.494311,0.515769,0.473027,0.492509,0.492509,5638458
2022-02-27,0.492509,0.497057,0.452259,0.454655,0.454655,3987547
2022-02-28,0.454655,0.459716,0.424625,0.455677,0.455677,4313358
2022-03-01,0.455677,0.497961,0.453501,0.473572,0.473572,4710862
2022-03-02,0.473572,0.640036,0.461242,0.566613,0.566613,10668120
2022-03-03,0.566613,0.966463,0.566020,0.798312,0.798312,20828962
2022-03-04,0.798312,0.838610,0.530986,0.577780,0.577780,26002374
2022-03-05,0.577780,0.626102,0.526822,0.549698,0.549698,18641901
2022-03-06,0.549698,0.558224,0.447697,0.484579,0.484579,6776352
2022-03-07,0.484579,0.486827,0.455721,0.475234,0.475234,5259411
2022-03-08,0.475234,0.480049,0.457383,0.463307,0.463307,4455419
2022-03-09,0.463306,0.549223,0.447189,0.488603,0.488603,5529366
2022-03-10,0.488603,0.497986,0.458466,0.465097,0.465097,5950627
2022-03-11,0.465097,0.466864,0.430854,0.446324,0.446324,4455271
2022-03-12,0.446324,0.447497,0.402531,0.406710,0.406710,3885005
2022-03-13,0.406714,0.414346,0.363219,0.390164,0.390164,3775523
2022-03-14,0.390157,0.399517,0.377626,0.386140,0.386140,3577438
2022-03-15,0.386140,0.396887,0.363141,0.371318,0.371318,3524186
2022-03-16,0.371319,0.454174,0.367639,0.400366,0.400366,5460728
2022-03-17,0.400366,0.414041,0.375446,0.385480,0.385480,5506867
2022-03-18,0.385479,0.390152,0.367211,0.379287,0.379287,2649429
2022-03-19,0.379287,0.383453,0.351679,0.369887,0.369887,3247091
2022-03-20,0.369887,0.376846,0.336641,0.343866,0.343866,3587716
2022-03-21,0.343866,0.367104,0.324034,0.338663,0.338663,3873628
2022-03-22,0.338663,0.346305,0.318039,0.320946,0.320946,4076758
2022-03-23,0.320946,0.326492,0.299804,0.305813,0.305813,3657459
2022-03-24,0.305813,0.315691,0.292282,0.303348,0.303348,3695801
2022-03-25,0.303348,0.354681,0.293539,0.329606,0.329606,4472318
2022-03-26,0.329606,0.348106,0.326323,0.340300,0.340300,4279188
2022-03-27,0.340300,0.366492,0.333525,0.347192,0.347192,3822531
2022-03-28,0.347192,0.352458,0.329549,0.335138,0.335138,3996385
2022-03-29,0.335138,0.358274,0.335014,0.352382,0.352382,3661945
2022-03-30,0.352383,0.398547,0.340457,0.388353,0.388353,4361046
2022-03-31,0.388353,0.388807,0.316879,0.322011,0.322011,5196152
2022-04-01,0.322011,0.328989,0.295496,0.307098,0.307098,5281720
2022-04-02,0.307098,0.310591,0.273529,0.278395,0.278395,3478302
2022-04-03,0.278395,0.288741,0.274823,0.284005,0.284005,3364408
2022-04-04,0.284005,0.286251,0.255754,0.260224,0.260224,3066018
2022-04-05,0.260224,0.265339,0.233814,0.242069,0.242069,3249248
2022-04-06,0.242069,0.245699,0.209362,0.226007,0.226007,3594893
2022-04-07,0.226008,0.264996,0.220369,0.264263,0.264263,4049334
2022-04-08,0.264262,0.268403,0.224759,0.224759,0.224759,3448629
2022-04-09,0.224759,0.238355,0.215562,0.223832,0.223832,2612805
2022-04-10,0.223833,0.253705,0.220203,0.234422,0.234422,3147485
2022-04-11,0.234422,0.245655,0.218146,0.219119,0.219119,3504692
2022-04-12,0.219119,0.248711,0.205706,0.239894,0.239894,4787460
2022-04-13,0.239894,0.247988,0.228093,0.232718,0.232718,5130530
2022-04-14,0.232718,0.237209,0.214388,0.219718,0.219718,4012357
2022-04-15,0.219718,0.233342,0.212287,0.214488,0.214488,3748305
2022-04-16,0.214488,0.220022,0.187303,0.191828,0.191828,3368717
2022-04-17,0.191828,0.194546,0.155218,0.160182,0.160182,3337419
2022-04-18,0.160182,0.165216,0.138310,0.148147,0.148147,3040976
2022-04-19,0.148147,0.187142,0.144354,0.171542,0.171542,3674953
